名称,级别,所在地区,详情链接,简介,大门票参考,景交费用参考,费用区间参考,开放时间,适宜季节,建议游玩时间,旅游景区级别,详细地址,官方网站,抓取状态,自然保护区等级,森林公园等级,国家风景名胜区,度假区级别,国家级水利风景区,地质公园级别,遗产项目编号,文物保护单位,官网,博物馆等级,地址,湿地级别,中文名,占地面积,主管部门,免票时间,企业官网,开盘时间,所在地址,外文名,成立时间,藏品数量
东部华侨城旅游度假区,4A,深圳市,https://www.maigoo.com/citiao/3915.html,深圳市东部华侨城旅游度假区位于中国深圳大梅沙，由华侨城集团精心打造，是集休闲度假、观光旅游、户外运动、科普教育等主题于一体的大型综合性国家生态旅游示范区。深圳东部华侨城打造了包含生态景区、主题酒店、健康水疗、郊野球场、大型演艺等内容的一系列生态旅游精品，主要分为大侠谷生态乐园、茶溪谷度假公园、云海谷体育公园、酒店群、天麓大宅等六大板块，体现了人与自然的和谐共处。,,,,09:30~17:30,全年,1~2天,4A,广东省 深圳市 盐田区 梅沙街道大梅沙环碧路,点击查看,成功,,,,国家级(2015年),,,,,,,,,,,,,,,,,,
南通市如皋水绘园景区,4A,南通市,https://www.maigoo.com/citiao/113078.html,水绘园景区，位于江苏省南通市如皋市碧霞路，是中国众多的名园之中，一处出类拔萃的佼佼者，也是江海平原上一颗璀璨的明珠。景区占地面积约27万平方米，北依城墙，借城为景，城围半园，雉堞严然，园内主要由水绘园、水明楼古建筑群、中国如皋长寿博物馆（匿峰庐）、中国如派盆景园（古澹园）、逸园及东大街历史文化街区等景点组成。,,,,08:00~17:30,全年,2~4小时,4A,江苏省 南通市 如皋市 碧霞路299号,点击查看,成功,,,,,,,,国家第五批(清朝),,,,,,,,,,,,,,
菩提岛景区,4A,唐山市,https://www.maigoo.com/citiao/117539.html,菩提岛景区，位于河北省唐山市乐亭县，因释迦牟尼在菩提树下顿悟成佛，几百棵菩提树植于岛上，由此得名。景区总面积4.4平方公里，南北长3公里，东西宽1公里，区内有各种植物260多种，自然植被覆盖率达98%以上，包括阔叶林、灌丛、灌草丛、草丛、盐生、沼生、水生和栽培植被8个系列156种植物，有“孤悬于海上的天然动植物园”之美誉。,,,,全天,夏季,4~5小时,4A,河北省 唐山市 乐亭县,,成功,,,,,,,,,,,,,,,,,,,,,,
徐家汇源景区,4A,徐汇区,https://www.maigoo.com/citiao/116298.html,徐家汇源景区，位于上海市徐汇区蒲西路，东起宛平南路、天平路，南临中山南二路，西至凯旋路，北达淮海西路，紧邻上海交通大学。景区是上海市著名的商业中心之一，主要由历史景观风貌、时尚活力购物和绿色休闲娱乐三大板块组成。景区内有远东大教堂徐家汇天主堂、140年的徐家汇观象台、上海现存较早的近代图书馆徐家汇藏书楼、中国较早按西洋办学模式设立的学校徐汇公学等历史建筑。,,,,全天,全年,3~5小时,4A,上海市 徐汇区 蒲西路166-1号,,成功,,,,,,,,,,,,,,,,,,,,,,
平津战役纪念馆,4A,红桥区,https://www.maigoo.com/citiao/56770.html,平津战役纪念馆是中共中央决定在天津修建的、全面展现平津战役伟大胜利的专题纪念馆，总占地面积4.7万平方米，建筑面积1.4万平方米，由胜利广场、主展馆、多维演示馆和军威园四部分组成。平津战役纪念馆基本陈列包括：战役决策、战役实施、人民支前、伟大胜利、英烈业绩五个部分，馆藏文物达10000多件，其中一级文物16件，其中历史照片400余幅，以及多媒体、电动沙盘、旧址复原、景观、雕塑、绘画等辅助展品。,,,,09:00~16:00（周一闭馆）,,4小时,4A,,,成功,,,,,,,,,点击查看,国家一级（文物）,天津市 红桥区 平津道8号,,,,,,,,,,,
汕尾市红海湾旅游区,4A,惠州市等,https://www.maigoo.com/citiao/3955.html,红海湾，旧称汕尾湾，位于广东省汕尾市沿海一个半封闭的海湾，东临碣石湾，南依红海湾，三面环海，海上交通东往汕头70海里，西至香港82海里，有“中国观浪第一湾”之称。景区湖泊、岛屿、港湾交错，沙滩蜿蜒连绵，沿岸礁岩多姿，有57公里的漫长海岸线，滨海风光秀丽，人文古迹众多，具有独特的亚热带海滨风光，成为每年海边休闲游的大热之地。,,,,09:00~19:00,全年,4~5小时,4A,广东省 汕尾市 汕尾市城区 城区,,成功,,,,,,,,,,,,,,,,,,,,,,
石家庄抱犊寨,4A,石家庄市,https://www.maigoo.com/citiao/117529.html,抱犊寨景区位于河北省石家庄鹿泉市西郊，是一处集自然景观与人文景观于一地的旅游景区。抱犊寨海拔580米，四周悬崖绝壁，顶部平旷坦夷，有肥沃良田660亩，土层深达66米；修建有全国较大山顶门坊——南天门、全国较大的金漆壁画装饰的韩信祠以及长城寨墙等，其中“西苑--莲花山--抱犊寨”客运索道全长1800多米，最高悬空271米，成为抱犊寨的一大景观。,,,,8:00~17:00,全年,3-4小时,4A,河北省 石家庄市 鹿泉区,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
宁波海洋世界,4A,宁波市,https://www.maigoo.com/citiao/110902.html,宁波海洋世界是宁波市一家展示海洋生物、宣传海洋知识的专业海洋馆。馆内拥有200多种、2万多条（只）海洋生物，总展示面积达1.6万多平方米，由水族馆和海洋剧场两馆组成。水族馆内设有美人鱼表演区、珍稀鱼类展区、七彩水母宫，还有三种海底隧道组合（跃层式海底隧道、180°海底隧道、270°海底隧道）；海洋剧场内展示有海豚、白鲸、海狮等海洋动物以及亚洲小爪水獭和北极狼等水生野生动物。,200元,,100元以下,09:00~17:15,全年,3小时,4A,浙江省 宁波市 鄞州区 桑田路936号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
南京高淳国际慢城旅游度假区,4A,南京市,https://www.maigoo.com/citiao/112999.html,高淳国际慢城旅游度假区，位于南京市高淳区桠溪镇西北部，游子山国家森林公园东麓。度假区全长48公里，覆盖面积达80平方公里，其中核心区面积50平方公里，是一处整合了丘陵生态资源而形成的集观光休闲、娱乐度假、生态农业为一体的农业综合旅游观光景区。高淳国际慢城旅游度假区，先后荣获中国生态休闲胜地、中国村镇慢游地、全国农业旅游示范点、华东金花胜地、江苏省省级旅游度假区等荣誉称号。,,,,全天,全年,5~6小时,4A,江苏省 南京市 高淳区 桠溪街道,,成功,,,,,,,,,,,,,,,,,,,,,,
锦江乐园,4A,闵行区,https://www.maigoo.com/citiao/116285.html,锦江乐园是一座现代化的大型游乐园，有32种大型游乐设施。如云霄飞车、豪华空中飞舞、双层木马、锦乐新干线、上海大转盘等。位于虹梅路201号，是改革开放后上海引进国外游乐设施建造的第一家大型游乐园，建成于1985年初，隶属锦江国际集团，锦江乐园功能齐全，环境宜人。锦江乐园分成“陆上世界”和“水上世界”两大部分，共有40项游乐项目，适合各种年龄游客游玩，每年接待游客100万人次左右。,130元,,100~200元,暂停开放,,5-6小时,4A,上海市 闵行区 虹梅路201号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
运河·塘栖古镇景区,4A,杭州市,https://www.maigoo.com/citiao/110938.html,塘栖古镇，位于杭州市北部，与湖州市的德清县接壤，距市区中心约20公里，总面积54.26平方千米。塘栖应运河而兴，历朝历代均为杭州市的水上门户，是闻名遐迩的“鱼米之乡、花果之地、丝绸之府、枇杷之乡”，贵为江南名镇之首。古镇区内河道纵横、水网密布，是典型的江南水乡。塘栖古镇，先后荣获浙江省文明镇、浙江省历史文化名镇、杭州市现代化标志性教育强镇等荣誉称号。,,,,全天,全年,3~4小时,4A,浙江省 杭州市 余杭区,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
深圳市野生动物园,4A,深圳市,https://www.maigoo.com/citiao/3882.html,深圳市野生动物园位于广东省深圳市南山区西丽湖东侧，成立于1993年9月，是一家放养式的野生动物园，也是集动物、森林、植物、科普等多种特色和观赏功能为一体的具有亚热带新型园林生态环境系统的风景区。深圳野生动物园占地面积60多万平方米，园内放养着300多种、近万头（只）野生动物，其中有属于世界珍禽名兽和中国一、二级保护动物，如华南虎、金丝猴、东北虎、麦哲伦企鹅等，还有动物园繁殖十分珍稀的众多虎狮兽、狮虎兽。,240元,,200~300元,09:30~21:00,全年,1天,4A,广东省 深圳市 南山区 西丽湖路4065号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
上海玻璃博物馆,4A,宝山区,https://www.maigoo.com/citiao/57757.html,上海玻璃博物馆前身是上海玻璃仪器一厂，后改造为以玻璃为主题的融展示、艺术、技术、商务、教育、娱乐、生活等功能于一身的GLASS+玻璃主题园。上海玻璃博物馆以“共享”为主题，改建场馆时在大量保留原有空间结构与细节的基础上，结合玻璃艺术与建筑本身的特点，在主馆内塑造了众“万花筒入口”、“历史长廊”、“玻璃屋”等亮点，同时也提供丰富的互动体验项目，让参观者能够亲身感受玻璃艺术的魅力。,通票150元,,100~200元,10:00~18:00,全年,2~3小时,4A,上海市 宝山区 长江西路685号,点击查看,成功,,,,,,,,,,无级别（非国有）,,,,,,,,,,,,
武安京娘湖景区,4A,邯郸市,https://www.maigoo.com/citiao/117476.html,京娘湖，位于河北省邯郸市武安市西北部山区的口上村北，亦称口上水库，距邯郸约60公里，因宋太祖赵匡胤千里送京娘的故事发生在这一带，故得此名。湖最大水面积为2500亩，库容量3200万立方米，湖面呈倒“人”字型，分东西两支，著名景点有老虎洞、神女仓、屏风山、鹊桥等。京娘湖，凭借其中山川水色开辟成为旅游风景区和避暑胜地。,,,,08:00~19:00,夏季,4~5小时,4A,河北省 邯郸市 武安市 活水乡口上村,,成功,,,,,国家级,,,,,,,,,,,,,,,,,
侵华日军南京大屠杀遇难同胞纪念馆,4A,南京市,https://www.maigoo.com/citiao/57779.html,侵华日军南京大屠杀遇难同胞纪念馆成立于1985年，是关于南京大屠杀历史、日军“慰安妇”制度、世界反法西斯战争胜利的遗址型专史纪念馆，也是南京大屠杀死难者国家公祭仪式的固定举办地。纪念馆总占地面积10.3万平方米，展出有三处南京大屠杀“万人坑”遗址，主题展有侵华日军南京大屠杀史实展、“三个必胜”主题展、“二战中的性奴隶——日军‘慰安妇’制度及其罪行展”等三个基本陈列，以及大量的文物、照片、历史证言、影像资料、档案等。,,,,08:30~17:30,,4~5小时,4A,,,成功,,,,,,,,国家第六批(1937年),点击查看,国家一级（行业）,江苏省 南京市 建邺区 水西门大街418号,,,,,,,,,,,
天津杨柳青庄园,4A,西青区,https://www.maigoo.com/citiao/113834.html,杨柳青庄园，位于天津市西青区津同公路20号，依附于子牙河和大柳滩生态园，是一块保留着乡土气息的天然大氧吧。整个庄园占地800亩，绿地占有率达90%以上，园内分为住宿区、烧烤区、娱乐区等，其中烧烤区分为普通木亭、四角铁亭、蒙古包等几种场地类型；还有古宅惊魂、真人CS、戏水区、湖边垂钓、时鲜采摘、马车、自行车、马场、表演等娱乐项目。,,,,08:00~17:00,全年,4小时,4A,天津市 西青区 津同公路20号,,成功,,,,,,,,,,,,,,,,,,,,,,
增城白水寨旅游区,4A,广州市,https://www.maigoo.com/citiao/3881.html,白水寨风景名胜区位于增城区派潭镇，面积约170㎞2，北回归线穿越其中，被誉为北回归线上的瑰丽翡翠，属山岳型风景名胜区。景区内崇山峻岭，群峰挺拔，海拔在1000米以上的山峰就有9座，其中最高峰为海拔1088米的牛牯嶂，山体高大、山势险峻、线条挺直，集雄、奇、险、秀于一身。此外，白水寨风景名胜区还拥有原始森林、浅滩湿地、峡谷天池等广东罕见自然生态资源，其中最令人瞩目的当属落差高达428.5米的超大瀑布——白水仙瀑。,,,,08:30~17:30,冬季,1天,4A,广东省 广州市 增城区 派潭镇,,成功,,,,,,,,,,,,,,,,,,,,,,
苏州天平山景区,4A,苏州市,https://www.maigoo.com/citiao/113049.html,天平山风景名胜区位于苏州古城西南，太湖之滨，是太湖国家风景名胜区的核心景区，有“吴中第一山”、“江南胜境”之美誉，是中国四大赏枫胜地之一。天平山海拔201米，山势峭峻奇险，古称白云山，又名赐山，系北宋名臣范仲淹先祖归葬之地，山上还有为纪念叶天士而建的天云寺。景区占地近百公顷，向以“红枫、奇石、清泉”三绝著称，有万笏朝天、高义叠翠、万丈红霞、玉泉轻吟等十八胜景。,,,,08:00~17:00,9~11月,3~4小时,4A,江苏省 苏州市 吴中区 木渎镇,,成功,,,,,,,,,,,,,,,,,,,,,,
嘉兴市海盐南北湖风景名胜区,4A,嘉兴市,https://www.maigoo.com/citiao/110854.html,南北湖，古名永安湖，亦名澉湖、高士湖，国家AAAA级旅游景区，位于浙江省杭州湾北岸嘉兴市海盐县境内。南北湖是钱塘江口的一个潟湖，有长堤横贯，将湖分为南北两半，故名。景区总面积约45平方公里，由湖塘、山林、滨海、古城四大资源要素组成，拥有丰富的自然资源和人文景观。南北湖景区，是集山、海、湖为一体的风景名胜区。,50元,,100元以下,08:00~17:00,全年,全天,4A,浙江省 嘉兴市 海盐县,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
天津光合谷旅游度假区,4A,静海区,https://www.maigoo.com/citiao/113830.html,光合谷旅游度假区是以现代服务业和生态旅游业为主导，集文化旅游、温泉度假、会议培训、有机体验于一体的大型文化休闲产业园区。景区占地300公顷，分为青年文化区、温泉酒店区、设施农业区和湿地公园区四大板块，囊括湿地公园、温泉度假区、垂钓渔乐馆、动物园、游乐场、户外运动、露营等数十种旅游休闲业态。,70元,,100元以下,09:00~17:00,全年,4~5小时,4A,天津市 静海区 团泊新城东区,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
崇礼万龙滑雪场景区,4A,张家口市,https://www.maigoo.com/citiao/117559.html,万龙滑雪场景区，位于河北省张家口市崇礼区，距张家口市50公里。景区占地面积30余平方公里，最高处海拔2110.3米，垂直落差550米，已开发建成初、中、高级滑雪道共计22条，而且每条雪道都配备了完善的造雪系统。万龙滑雪场景区，以标准雪道多，雪道长，落差大，雪道设计科学合理，惊险刺激著名，配合着得天独厚的天然降雪，成为亚洲较早开放的雪场。,,,,全天,冬季,1~2天,4A,河北省 张家口市 崇礼区,,成功,,,,,,,,,,,,,,,,,,,,,,
精武门·中华武林园,4A,西青区,https://www.maigoo.com/citiao/113827.html,精武门·中华武林园景区，位于天津市西青区精武镇小南河村，是一处以纪念爱国武术家霍元甲先生为主题的园区，也是集馆藏、民俗、文化、武术演练、餐饮、住宿、康疗、健身、娱乐、休闲为一体的综合性特色文化旅游区。武林园规划占地3880亩，包括精武主题组团、精武民俗文化组团、民俗文化组团、精武总部组团、精武研究教育组团、精武度假组团、生态居住组团等七大部分。,,,,08:00~17:00,全年,3~4小时,4A,天津市 西青区 精武镇小南河村,,成功,,,,,,,,,,,,,,,,,,,,,,
正定荣国府,4A,石家庄市,https://www.maigoo.com/citiao/117528.html,荣国府，位于河北省石家庄市正定县，是以明末清初文化为背景的仿古建筑群。荣国府是根据中国古典名著《红楼梦》中所描绘的“荣国府”设计和建造的，建筑面积4700平方米，主要由荣国府景区、宁荣街景区、曹雪芹纪念馆等景观组成。景区是国家AAAA级旅游景区、河北省定点旅游单位 、正定县级重点文物保护单位，被誉为中国的“好莱坞”。,40元,,100元以下,08:00~17:00,秋季,2小时,4A,河北省 石家庄市 正定县,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
珠海市东澳岛旅游度假区,4A,珠海市,https://www.maigoo.com/citiao/3964.html,东澳岛位于珠海市香洲区东南部，距离香洲30公里，万山群岛中部，面积约4.663平方公里，是一个石奇水美，花木葱茏，空气清新的美丽小岛。由于岛东侧的东澳湾锲入中部约1500米，形成一块大凹部，故称东澳岛。东澳岛分南北两部分，沿岸多为危崖岸，山坡上巨石林立，环岛近岸90米内多礁石。东澳岛非常完整地保留着原始自然的生态环境，洁白的沙滩、湛蓝的海水、明媚的阳光与岛上浓绿的森林构造了东澳岛几近完美的生态旅游环境。,,,,全天,全年,5~8小时,4A,广东省 珠海市 香洲区 万山镇东澳村,,成功,,,,,,,,,,,,,,,,,,,,,,
上海中国航海博物馆,4A,浦东新区,https://www.maigoo.com/citiao/57682.html,上海中国航海博物馆是中国大型、高等级的综合性航海博物馆。博物馆占地面积为24830平方米，建筑总面积为46434平方米，室内展览面积为21000平方米，馆内以“航海”为主题，“博物”为基础，分设航海历史、船舶、航海与港口、海事与海上安全、海员、军事航海六大展馆，渔船与捕鱼、航海体育与休闲两个专题展区，并建有天象馆、4D影院、儿童活动中心，涵盖文物收藏、学术研究、社会教育、陈列展示等功能。,,,,09:30~16:00（周一闭馆）,,3~4小时,4A,,,成功,,,,,,,,,点击查看,国家一级（行业）,上海市 浦东新区 申港大道197号,,,,,,,,,,,
杭州桐庐江南古村落风景区,4A,杭州市,https://www.maigoo.com/citiao/110941.html,江南古村落风景区，位于杭州市桐庐县江南镇北麓，离桐庐县城16.5公里，距杭州市区45公里。景区是中国历史文化名村、全国美丽乡村样板区、国家4A级旅游风景区、国际休闲乡村示范点、省级历史文化保护区，也是一个物质文化遗产和非物质文化遗产的综合体。景区总占地面积30.2平方公里，拥有深厚的历史底蕴、浓郁的民俗风情、独特的水系资源、庞大的古建筑群和深厚的宗氏文化。,,,,全天,全年,4~5小时,4A,浙江省 杭州市 桐庐县 江南镇,,成功,,,,,,,,,,,,,,,,,,,,,,
宿迁市项王故里景区,4A,宿迁市,https://www.maigoo.com/citiao/113124.html,项王故里景区，坐落于江苏省宿迁市宿城区梧桐巷、古黄河与京杭大运河之间，徐淮路东侧。景区是楚国贵族、秦末农民起义军的领袖，“拔山盖世”的英雄、西楚霸王项羽的出生地，也是国家AAAA级旅游景区、江苏省重点文物保护单位。项王故里总建筑面积35万平方米，核心景区占地面积260亩，建筑面积7.6万平方米，包括项王故里核心区、梧桐巷传统街区、西楚大街商业休闲区等。,80元,,100元以下,08:30~17:30,全年,3小时,4A,江苏省 宿迁市 宿城区 黄河南路288号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
新会古兜温泉小镇,4A,江门市,https://www.maigoo.com/citiao/3823.html,古兜温泉小镇（新会古兜温泉旅游度假村）位于广东省江门市新会崖南端，是一个集自然风光、历史文化娱乐休闲、健身活动、商务会议于一体的旅游度假胜地。古兜温泉内建有占地10万平方米，由唐式、欧式、日式三大温泉区和服务配套设施组成的温泉谷；建有面积13万平方米，水流日夜不息的山泉泳场；还建有较为齐全的服务设施，各种游玩设施、餐饮住宿、会议办公设施等一应俱全。,,,,"温泉谷09:00~12:00,15:00~22:00",冬季,4小时,4A,广东省 江门市 新会区,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
南京总统府,4A,南京市,https://www.maigoo.com/citiao/113002.html,南京总统府是中国近代建筑遗存中规模最大、保存最完整的建筑群，也是南京民国建筑的主要代表之一，现已辟为中国近代史遗址博物馆。南京总统府占地面积约9万平方米，历史可追溯到明初的归德侯府和汉王府，清代被辟为江宁织造署、两江总督署等，清康熙乾隆南巡均以此为行宫，1912年1月1日，孙中山在此宣誓就职中华民国临时大总统，辟为大总统府，后来又为南京国民政府总统府，已有600多年的历史。,35元,,100元以下,周二~周日：8:30~17:00,全年,3-4小时,4A,江苏省 南京市 玄武区 长江路292号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
上海辰山植物园,4A,松江区,https://www.maigoo.com/citiao/116299.html,上海辰山植物园由上海市政府与中国科学院以及国家林业局、中国林业科学研究院合作共建，是一座集科研、科普和观赏游览于一体的综合性植物园。植物园占地207公顷，分中心展示区、植物保育区、五大洲植物区和外围缓冲区等四大功能区，主要园区有矿坑花园、北美洲植物区、水生植物园、热带展览温室、小小动物园、观赏草园。另外，园区先后建成了热带植物体验馆、4D科普影院、树屋、海盗船、儿童园、勇者之路攀爬网、空中藤蔓园等科普体验设施。,60元,,100元以下,08:00~17:30,春秋季,全天,4A,上海市 松江区 辰花公路3888号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
五岳寨景区,4A,石家庄市,https://www.maigoo.com/citiao/117522.html,五岳寨风景区（又称五岳寨森林公园）位于河北省灵寿县西北部深山区，地处太行山东麓，因五座山峰并列耸立，且有五岳之特点而得名。五岳寨总面积88平方公里，植被覆盖率达98%以上，其中40%以上是原始次生林，落叶松林、油松林、白桦林、核桃秋林等遍布整个园区。五岳寨地质资源也很丰富，山形地貌奇特，猴头峰、石驼峰、鸳鸯石、将军石等许多山峰奇形怪状，拟人似兽、栩栩如生。,,,,全天,全年,1~2天,4A,河北省 石家庄市 灵寿县 南营乡草房村,点击查看,成功,,国家级,,,,,,,,,,,,,,,,,,,,
宁波市绿野山居景区,4A,宁波市,https://www.maigoo.com/citiao/110874.html,绿野山庄位于宁波市江北区慈城镇五星村，是一个初具规模的文明、富裕、和谐的小康村。农庄东临古色古香的慈城古县城，北靠风景秀丽的云湖，正在建设中的杭州湾大通道挨村而过，江北大道离村3公里，距慈城镇5公里，到宁波市区20公里，交通便捷，区位优越。农庄以优美、朴实的生态环境为依托，突出“山野与绿野”氛围，已被授予国家4A级旅游景区、全国农业旅游示范点和浙江省三星级乡村旅游点等称号。被市政府批准建设市级森林公园。,,,,07:30-17:30,,6小时,4A,浙江省 宁波市 江北区 慈城镇五星村,点击查看,成功,,市级,,,,,,,,,,,,,,,,,,,,
扬州市东关街历史文化旅游区,4A,扬州市,https://www.maigoo.com/citiao/113106.html,扬州东关街，位于江苏省扬州市广陵区，东至古运河边，西至国庆路，全长1122米。东关街是扬州城里最具有代表性的一条历史老街，是扬州水陆交通要道、商业、手工业和宗教文化中心，也是集文化性、休闲性、商业性于一身的历史文化街区典范。街面上市井繁华、行当俱全，汇聚着几十家扬州老字号和特色商铺，建筑精致典雅，粉墙黛瓦，体量协调，疏朗有致。,,,,全天,全年,3~5小时,4A,江苏省 扬州市 广陵区 泰州路,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
湛江市湖光岩风景名胜区,4A,湛江市,https://www.maigoo.com/citiao/3815.html,湖光岩风景区位于中国大陆最南端湛江市区西南18公里处，被联合国地质专家称为研究地球与地质科学的“天然年鉴”。景区总面积为38平方公里，园区是一个以玛珥火山地质地貌为主体，兼有海岸地貌、构造地质地貌等多种地质遗迹，自然生态良好的公园。景区是由雷琼世界地质公园博物馆、楞严寺、李纲醉月雕像、美食欢乐园、清风林、火山地质遗迹、高密度负离子区、董公亭、玛珥湖、陈济棠将军墓、白牛仙女雕像等20个景点组成，是集自然景观与人文景观于一体的旅游区。,,,,07:00~18:00,全年,2~3小时,4A,广东省 湛江市 麻章区 湖光镇湖光岩,点击查看,成功,,,2004年,,,国家级(2001年第一批)正名,,,,,,,,,,,,,,,,
邢台天河山,4A,邢台市,https://www.maigoo.com/citiao/117554.html,"天河山位于河北省邢台市，是中国爱情山，中国七夕文化之乡，牛郎织女传说的原生地。天河山是国家重点风景名胜区、国家地质公园,风景区屹立在晋冀交界处的太行山最绿的地方，总面积30平方公里。天河山距邢台市区50公里，远离都市喧嚣，这里奇峰林立，峡谷幽峻，植被丰茂，林木葱郁；群瀑飞雪，清泉鸣筝，水源丰沛，是著名的“太行水乡”；松涛阵阵，牛羊成群，又称“云顶草原”。早在新石器时代，天河山地区就有人类居住。抗日战争时期，天河山是八路军主要根据地之一。",,,,全天,全年,4-6小时,4A,河北省 邢台市 襄都区,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
杭州市超山景区,4A,杭州市,https://www.maigoo.com/citiao/110901.html,超山风景区，位于杭州市东北25公里处余杭区境内，北靠塘栖古镇、南接临平副城、东临余杭经济开发区，是余杭现有的省级风景名胜区。景区规划面积6.42平方公里，已建成面积1000余亩，共分东园、北园、南园和登山区域四大部分。超山景区历史悠久、文化底蕴深厚，尤以梅文化、金石书画文化和禅宗文化为景区的最大亮点；其中梅文化是超山的灵魂，超山梅花以“古、广、奇”三绝而闻名于世。,,,,08:00~16:30,全年,2~3小时,4A,浙江省 杭州市 余杭区,,成功,,,,,,,,,,,,,,,,2-01.01,,,,,,
东方绿舟,4A,青浦区,https://www.maigoo.com/citiao/116283.html,东方绿舟，位于上海市青浦区，近风景宜人的淀山湖畔，占地面积5600亩，其中水域面积达2000亩。景区由智慧大道区、勇敢智慧区、国防教育区、生存挑战区、科学探索区、水上运动区、体育训练区、生活实践区共八大园区组成。东方绿舟是国家生态旅游示范区、也是集拓展培训、青少年社会实践、团队活动以及休闲旅游为一体的大型公园。,50元,交通套票80元,200~300元,08:30~16:30,夏秋季,4小时,4A,上海市 青浦区 沪青平公路6888号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
苏州市吴江震泽古镇景区,4A,苏州市,https://www.maigoo.com/citiao/113051.html,震泽古镇，位于江苏省苏州市吴江区西南部，与浙江省毗邻，古称“吴头越尾”，是吴江的“西大门”，也是中国著名的蚕丝之乡。古镇先后荣获国家4A级景区、中国历史文化名镇、中国蚕丝之乡、中国亚麻名镇、江苏省历史文化名镇等荣誉称号。古镇悠悠河水两岸，散布着师俭堂、慈云寺塔、禹迹桥、宝塔街、 文昌阁等主要景点。,,,,08:00~17:00,春秋两季,3~4小时,4A,江苏省 苏州市 吴江区,,成功,,,,,,,,,,,,,,,,,,,,,,
承德双塔山,4A,承德市,https://www.maigoo.com/citiao/117472.html,双塔山景区，位于河北省承德市双滦区双塔山镇滨河大街98号，是承德市较大的自然风景游览区。景区总面积3000公顷，区内林壑优美，溪水奔流，怪石嶙峋，鸟语花香，山奇、水奇、林奇、石奇、塔奇、洞奇，大自然的鬼斧神工攒成了奇异的自然景观；清朝的康熙、乾隆、嘉庆皇帝以及文武名臣曾多次登临，且遗迹成篇。,,,,07:30~18:00,夏秋季节,4小时,4A,河北省 承德市 双滦区 双塔山镇滨河大街98号,,成功,,,,,,,,,,,,,,,,,,,,,,
南湖区湘家荡环湖景区,4A,嘉兴市,https://www.maigoo.com/citiao/110960.html,湘家荡环湖景区是集江南水乡、自然湖泊风光和浪漫田园景色为一体，以水上游乐、农业观光、生态旅游、养生休闲度假为主要内容的综合性旅游度假区。景区总面积45.25平方公里，水域面积约2000亩，区内充分利用原有的江南特色，建有湘家荡水上娱乐中心、国际垂钓中心、生态农业示范区、现代高科技游乐园、度假中心、汽车公寓等14个功能区。,,,,09:00~20:30,夏季,4~5小时,4A,浙江省 嘉兴市 南湖区 七星镇,,成功,,,,,,,,,,,,,,,,,,,,,,
天津港文化旅游区,4A,滨海新区,https://www.maigoo.com/citiao/113836.html,东疆湾景区总面积约2.46平方公里，海域总面积约2平方公里，总用沙量约为15万方，卵石用量约7万方，东边界由总长约3km的防波堤环抱而成。2023年在经过文旅资源的整合与调整，东疆湾沙滩景区更名为天津港文化旅游区，范围涵盖东疆湾沙滩、天津港第二集装箱码头、天津国际邮轮母港、东疆仓储式红酒展销中心、津港情怀六米码头主题餐厅、成卫东劳模创新工作室、天津港太平洋国际集装箱码头等景点，占地面积约23.16平方公里。,,,,08:30~17:00,夏季,1天,4A,天津市 滨海新区 东疆保税港区观澜路,,成功,,,,,,,,,,,,,,,,,,,,,,
上海共青国家森林公园,4A,杨浦区,https://www.maigoo.com/citiao/108769.html,共青森林公园，位于上海市杨浦区，东濒黄浦江，西临军工路，全园总占地1965亩。公园是以森林为主要景观的特色公园，共种植200余种树木，总数达30多万株。公园分为南北两园，北园占地1631亩称为共青森林公园，南园占地239.6亩称为万竹园。南北园风格各异，北园着重森林景色，有丘陵湖泊草地，南园则小桥流水一派南国风光。,,,,06:00~17:30,春季、秋季,2~3小时,4A,上海市 杨浦区 军工路2000号,点击查看,成功,,国家级,,,,,,,,,,,,,,,,,,,,
